,book_no,title,view,category,book_id,0,1,2,3,4,5,6,7
33,33,Beauty and the Beast (Timeless Fairy Tales #1),"(162,013 view)",romance,book_1_33,0.2029074529074529,0.0705023205023205,0.09370734370734372,0.03746928746928747,0.05303030303030303,0.3342205842205842,0.046205296205296204,0.16195741195741195
34,34,It's a Wonderful Tangled Christmas Carol (Tangled #4.5),"(55,941 view)",romance,book_1_34,0.2236346516007533,0.044457896152811406,0.046610169491525424,0.05790960451977401,0.09772666128598333,0.2465025558245897,0.212604250739844,0.07055421038471886
35,35,Tied (Tangled #4),"(145,526 view)",romance,book_1_35,0.08259368836291914,0.03164036817882972,0.046761998685075606,0.17661078238001315,0.03492767915844839,0.526051939513478,0.03262656147271532,0.06878698224852071
36,36,Tamed (Tangled #3),"(159,345 view)",romance,book_1_36,0.1768258027848821,0.03957090082409776,0.22513498152884345,0.05036942313157148,0.05946291560102303,0.13505257175333904,0.090153452685422,0.22342995169082128
37,37,Holy Frigging Matrimony: A Tangled Series Short Story (Tangled #1.5),"(39,602 view)",romance,book_1_37,0.25230384412848866,0.02560558188520274,0.1335571353343865,0.056937862032648764,0.03956029489204845,0.05219852553975777,0.20122432859399686,0.23861242759347026
38,38,Tangled Extra Scenes (Tangled #1.1),"(33,324 view)",romance,book_1_38,0.10394912985274432,0.06994645247657295,0.061646586345381525,0.1604417670682731,0.1537483266398929,0.10127175368139224,0.13634538152610445,0.21265060240963854
39,39,Twisted (Tangled #2),"(198,072 view)",romance,book_1_39,0.4771604938271605,0.043964334705075436,0.07002743484224966,0.029698216735253767,0.08456790123456791,0.10212620027434842,0.05,0.14245541838134432
40,40,One with You (Crossfire #5),"(1,060,631 view)",romance,book_1_40,0.16186998854524628,0.09170962199312714,0.07996849942726231,0.04102233676975945,0.14010595647193586,0.207975372279496,0.14211053837342494,0.13523768613974801
41,41,Captivated by You (Crossfire #4),"(178,493 view)",romance,book_1_41,0.08326491516146689,0.047961138478379864,0.09366447728516694,0.03920361247947455,0.056718664477285165,0.3465380405035577,0.05097153804050356,0.2816776135741653
42,42,Collin (Forever #4),"(147,094 view)",romance,book_1_42,0.13171589310829818,0.060829817158931085,0.08614627285513361,0.13509142053445852,0.09655414908579464,0.13002812939521802,0.07855133614627285,0.28108298171589313
43,43,Being Julia (Forever #3.5),"(38,599 view)",romance,book_1_43,0.1784941876182752,0.0446742362800757,0.10658286023249527,0.18768586104352528,0.08549608002162748,0.12307380373073805,0.06846444985131117,0.20552852122195187
44,44,Forever Us (Forever #3),"(89,248 view)",romance,book_1_44,0.05755555555555555,0.10407407407407407,0.0865925925925926,0.2394814814814815,0.03503703703703704,0.19088888888888889,0.0865925925925926,0.19977777777777775
45,45,Forever You (Forever #2),"(116,062 view)",romance,book_1_45,0.09294871794871797,0.122008547008547,0.08440170940170941,0.30776353276353274,0.2245726495726496,0.057905982905982915,0.0693019943019943,0.041096866096866094
46,46,Forever Black (Forever #1),"(290,799 view)",romance,book_1_46,0.18462469733656173,0.07862523540489642,0.06436642453591608,0.30999461931665323,0.09073177293516277,0.07082324455205811,0.043112725316115146,0.15772128060263654
47,47,Storm and Silence,"(545,020 view)",romance,book_1_47,0.07461873638344227,0.026446381021544424,0.648329702251271,0.06541999515855726,0.0613047688211087,0.04653836843379328,0.03177196804647785,0.04557007988380538
48,48,It Ends with Us,"(544,304 view)",romance,book_1_48,0.11118108032465716,0.061363000279876866,0.2695913797928912,0.0980268681780017,0.1316120906801008,0.2206129303106633,0.03785334452840751,0.06975930590540164
49,49,Wired (Buchanan-Renard #13),"(1,789,538 view)",romance,book_1_49,0.02873327873327873,0.10244335244335244,0.33503958503958503,0.06422331422331423,0.11663936663936665,0.08196833196833196,0.08169533169533169,0.18925743925743926
50,50,Fast Track (Buchanan-Renard #12),"(213,530 view)",romance,book_1_50,0.1459731543624161,0.024919214516529942,0.6212403678846631,0.039584886900323135,0.035359184688043735,0.03461347253293561,0.0316306239125031,0.06667909520258512
